STT,Từ vựng,Nghĩa
1097,どうにか,"bằng mọi giá, dù thế nào"
1098,どうにも,chẳng thể làm gì
1099,何とか (なんとか),"điều gì đó, thứ gì đó"
1100,何とも (なんとも),"Không... 1 chút nào, có trường hợp"
1101,わざと,"cố ý, cố tình"
1102,わざわざ,Mất công... ( nhưng không được gì )
1103,せっかく,"Mất công... ( nhưng có kết quả ), hiếm lắm mới, nỗ lực phấn đấu"
1104,あいにく,"đáng tiếc, không may"
1105,案の定 (あんのじょう),như mong đợi
1106,いよいよ,"cuối cùng, đã đến lúc, càng ngày càng"
1107,さすが,"quả là, như dự đoán, thật đúng là"
1108,とにかく,"dù sao thì, nói chung là"
1109,ともかく,"dù sao, đặt (cái gì) sang một bên"
1110,せめて,ít nhất là
1111,せいぜい,"Tối đa, không hơn được nữa, căng lắm là"
1112,どうせ,"dù cho, đằng nào thì"
1113,ぎっしり,"lèn chặt, chặt kín, sin sit"
1114,ずらりと,hàng loạt
1115,あっさり,"Thanh đạm, dễ dàng, nhanh chóng"
1116,しんと・しいんと,"yên lặng, lặng lẽ"
1117,ちゃんと,"nghiêm túc, cẩn thận, chắc chắn, nhanh chóng"
1118,続々 (ぞくぞく),"liên tục, nối đuôi nhau"
1119,どっと,"bất thình lình, bất chợt"
1120,ばったり,"đột nhiên, bất ngờ, tình cờ"
1121,さっさと,"nhanh chóng, gấp rút"
1122,さっと,"thoắt 1 cái, trong tích tắc"
1123,すっと,"Nhanh như chớp, thoải mái, nhẹ nhàng"
1124,せっせと,"siêng năng, cần cù"
1125,ざっと,"Qua loa, đại khái, lướt qua"
1126,こっそり,"Vụng trộm, lén lút, nhẹ nhàng, rón rén"
1127,生き生き (いきいき),"sinh động, phấn khích, hoạt bát, tràn trề"
1128,ぼんやり,"mờ ảo, không rõ, mông lung"
1129,ふと,"đột nhiên, bất chợt"
1130,じかに,trực tiếp
1131,一度に (いちどに),"1 lúc, 1 lần"
1132,一斉に (いっせいに),"cùng lúc, đồng loạt, đồng thanh"
1133,共に (ともに),cùng với
1134,相互に (そうごに),"lẫn nhau, cùng nhau"
1135,一人一人 (ひとりひとり),"từng người một, lần lượt, mỗi người"
1136,いちいち,"chi li, xét nét, hở 1 chút là..."
1137,所々 (ところどころ),"đây đó, đôi chỗ"
1138,どうか,làm ơn
1139,できれば・できたら,nếu có thể
1140,たいして,"Không...nhiều; không... lắm, so với"
1141,恐らく (おそらく),"có lẽ, e rằng, sợ là"
1142,むしろ,"hơn, tốt"
1143,果たして (はたして),"như dự đoán, thật sự là"
1144,かえって,"ngược lại, ai ngờ là"
1145,必ずしも (かならずしも),"không hẳn, chưa chắc"
1146,単に (たんに),"chỉ, đơn giản"
1147,いまだに,"vẫn chưa, vẫn còn"
1148,ついでに,"nhân tiện, tiện thể"
1149,とりあえず,"tạm thời, trước mắt"
1150,万一(が) (まんいち(が)),"nếu lỡ, bất trắc"
1151,偶然 (ぐうぜん),"ngẫu nhiên, bất ngờ"
1152,たまたま,"tình cờ, ngẫu nhiên"
1153,実際 (じっさい),"thực tế là, sự thực"
1154,同様 (どうよう),"giống như, tương tự"
1155,元々 (もともと),"ban đầu, vốn dĩ"
1156,本来 (ほんらい),"từ trước tới giờ, nguyên bản, bản chất"
1157,ある,"có, một số"
1158,あらゆる,"tất cả, mọi"
1159,たいした,"to tát, tuy không phải ~ nhưng"
1160,いわゆる,"nói nôm na là, tức là, nghĩa là, nói cách khác..."
